Age,Age_Coded_Bin,Gender,Gender_Coded,Country,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,UsageOfAppsAvg,SleepDurationMinutesAvg,SDurC,SDist,SDist_SQRT,SDistC,SleepingTimeAverageWeekly,SleepingTimeWeeklyCategory,STime,WakeupTimeWeeklyAverage,WakeupTimeWeeklyCategory,WTime
35 - 44,1.0,Female,2.0,United Kingdom,5,8,7,7,9,143.92,375.87,1,13.82,3.72,1,1:18:09 AM,Poor Sleep Time,4,7:34:17 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,Germany,2,4,7,6,7,144.08,541.71,3,0.0,0.0,0,11:10:34 PM,Delayed Sleep,3,8:12:26 AM,Delayed Wakeup,3
35 - 44,1.0,Female,2.0,France,10,10,7,8,10,144.6,514.77,2,2.39,1.55,1,11:51:17 PM,Delayed Sleep,3,8:26:17 AM,Delayed Wakeup,3
25 - 34,1.0,Female,2.0,France,5,8,7,6,9,145.22,419.43,1,7.39,2.72,1,12:03:51 AM,Poor Sleep Time,4,7:03:26 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,United Kingdom,6,10,5,10,10,151.06,563.68,3,0.38,0.62,1,10:27:34 PM,Regular Sleep,2,7:51:17 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,Canada,2,4,7,10,10,153.4,478.47,2,12.98,3.6,1,1:38:17 AM,Poor Sleep Time,4,9:37:00 AM,Poor Wakeup,4
15 - 24,0.0,Female,2.0,United States,9,10,10,3,10,153.96,503.22,2,4.73,2.17,1,11:38:17 PM,Delayed Sleep,3,8:01:26 AM,Delayed Wakeup,3
45 - 54,1.0,Female,2.0,Netherlands,3,9,7,3,7,154.82,562.7,3,0.0,0.0,0,9:40:34 PM,Early Sleep,1,7:03:17 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,United States,3,7,4,8,10,161.68,502.89,2,2.71,1.65,1,11:42:00 PM,Delayed Sleep,3,8:05:00 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,United States,7,10,6,10,9,161.7,629.01,3,0.0,0.0,0,10:13:51 PM,Regular Sleep,2,8:42:51 AM,Delayed Wakeup,3
25 - 34,1.0,Female,2.0,United Kingdom,9,7,6,8,9,174.29,470.42,2,0.0,0.0,0,11:16:17 PM,Delayed Sleep,3,7:06:34 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,Netherlands,8,7,6,4,9,174.93,548.98,3,7.45,2.73,1,11:26:34 PM,Delayed Sleep,3,8:35:26 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,United Kingdom,4,8,9,9,7,175.63,433.86,2,4.02,2.0,1,12:20:26 AM,Poor Sleep Time,4,7:34:26 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,United Kingdom,6,6,7,7,10,184.27,520.14,2,10.77,3.28,1,10:27:09 PM,Regular Sleep,2,7:07:09 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,Canada,6,9,9,9,9,187.35,526.17,2,0.0,0.0,0,10:51:34 PM,Regular Sleep,2,7:37:43 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,Netherlands,7,10,6,9,10,188.5,537.21,2,7.01,2.65,1,12:05:09 AM,Poor Sleep Time,4,9:01:43 AM,Poor Wakeup,4
15 - 24,0.0,Female,2.0,United States,9,7,7,6,10,189.17,549.38,3,0.0,0.0,0,9:51:17 PM,Early Sleep,1,7:00:51 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,United Kingdom,6,6,7,9,9,190.35,544.26,3,0.0,0.0,0,10:40:09 PM,Regular Sleep,2,7:45:00 AM,Regular Wakeup,2
35 - 44,1.0,Female,2.0,United States,6,4,10,3,6,191.6,500.74,2,3.87,1.97,1,11:44:00 PM,Delayed Sleep,3,8:05:09 AM,Delayed Wakeup,3
25 - 34,1.0,Female,2.0,Germany,7,5,4,8,10,193.83,468.16,2,3.97,1.99,1,12:15:43 AM,Poor Sleep Time,4,8:04:00 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,India,6,6,3,7,9,195.39,403.65,1,0.71,0.84,1,2:30:43 AM,Poor Sleep Time,4,9:14:26 AM,Poor Wakeup,4
35 - 44,1.0,Female,2.0,France,6,8,8,2,9,197.78,508.14,2,7.06,2.66,1,11:03:09 PM,Delayed Sleep,3,7:31:17 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,Australia,8,9,7,3,3,199.56,445.18,2,0.0,0.0,0,10:46:26 PM,Regular Sleep,2,6:11:26 AM,Early Wakup,1
25 - 34,1.0,Female,2.0,United States,6,9,7,9,6,202.44,454.17,2,6.89,2.62,1,12:07:51 AM,Poor Sleep Time,4,7:42:09 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,Germany,3,4,7,10,5,203.29,482.38,2,0.49,0.7,1,11:51:17 PM,Delayed Sleep,3,7:53:51 AM,Regular Wakeup,2
35 - 44,1.0,Female,2.0,Australia,9,6,6,9,9,209.75,473.85,2,4.51,2.12,1,11:12:09 PM,Delayed Sleep,3,7:05:51 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,United Kingdom,6,8,5,5,4,211.85,541.45,3,1.67,1.29,1,10:08:26 PM,Regular Sleep,2,7:09:51 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,France,9,8,5,7,7,213.79,480.77,2,11.94,3.46,1,12:38:09 AM,Poor Sleep Time,4,8:39:09 AM,Delayed Wakeup,3
35 - 44,1.0,Female,2.0,United Kingdom,4,6,5,10,6,218.49,540.13,2,8.57,2.93,1,10:55:00 PM,Regular Sleep,2,7:54:51 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,United Kingdom,10,8,5,4,10,222.77,533.45,2,14.54,3.81,1,11:06:17 PM,Delayed Sleep,3,7:59:51 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,Germany,9,5,3,9,6,223.85,479.58,2,5.5,2.35,1,12:15:34 AM,Poor Sleep Time,4,8:15:17 AM,Delayed Wakeup,3
25 - 34,1.0,Female,2.0,Canada,6,8,4,4,7,230.05,573.14,3,8.34,2.89,1,10:40:17 PM,Regular Sleep,2,9:14:09 AM,Poor Wakeup,4
